full_size_dir,unity_resize_dir,width,height,cosine_similarity
D:\vae_test_set\1920x1080\images\29520.jpg,D:\vae_test_set\1920x1080\64x64\29520.jpg,1920,1080,0.9997778073330896
D:\vae_test_set\1920x1080\images\17409.jpg,D:\vae_test_set\1920x1080\64x64\17409.jpg,1920,1080,0.9997477502274928
D:\vae_test_set\1920x1080\images\4381.jpg,D:\vae_test_set\1920x1080\64x64\4381.jpg,1920,1080,0.9996701157192383
D:\vae_test_set\1920x1080\images\23745.jpg,D:\vae_test_set\1920x1080\64x64\23745.jpg,1920,1080,0.9997818751971363
D:\vae_test_set\1920x1080\images\25390.jpg,D:\vae_test_set\1920x1080\64x64\25390.jpg,1920,1080,0.9998163493912667
D:\vae_test_set\1920x1080\images\3111.jpg,D:\vae_test_set\1920x1080\64x64\3111.jpg,1920,1080,0.9997811374945297
D:\vae_test_set\1920x1080\images\24516.jpg,D:\vae_test_set\1920x1080\64x64\24516.jpg,1920,1080,0.9997208158510775
D:\vae_test_set\1920x1080\images\25084.jpg,D:\vae_test_set\1920x1080\64x64\25084.jpg,1920,1080,0.9997805609321223
D:\vae_test_set\1920x1080\images\5235.jpg,D:\vae_test_set\1920x1080\64x64\5235.jpg,1920,1080,0.9998108673993422
D:\vae_test_set\1920x1080\images\15351.jpg,D:\vae_test_set\1920x1080\64x64\15351.jpg,1920,1080,0.9997738638728345
D:\vae_test_set\1920x1080\images\12694.jpg,D:\vae_test_set\1920x1080\64x64\12694.jpg,1920,1080,0.9997780446835123
D:\vae_test_set\1920x1080\images\5210.jpg,D:\vae_test_set\1920x1080\64x64\5210.jpg,1920,1080,0.9997535224440925
